lemma,lila_id,wr,phon
iubeo,lilaLemma:109152,jussi,jussī
iubeo,lilaLemma:109152,jussi,jussī
iudex,lilaLemma:109161,judex,jūdex
iudex,lilaLemma:109161,judicis,jūdĭcis
iudicium,lilaLemma:109170,judicium,jūdĭcĭum
iudicium,lilaLemma:109170,judicii,jūdĭcĭī
ius,lilaLemma:109252,juris consulti,juris consultī
ius,lilaLemma:109252,jus jurandum,jus jūrandum
ius,lilaLemma:109252,jus jurandi,jus jūrandī
ius,lilaLemma:109252,jus,jūs
ius,lilaLemma:109252,juris,jūris
legio,lilaLemma:110166,legio,lĕgĭō
legio,lilaLemma:110166,legionis,lĕgĭōnis
lex,lilaLemma:110351,legis,lēgis
licet,lilaLemma:110432,licet,lĭcĕt
licet,lilaLemma:110432,licet,lĭcĕt
licet,lilaLemma:110432,licere,lĭcēre
licet,lilaLemma:110432,licuit,lĭcŭit
licet,lilaLemma:110432,licitum est,lĭcĭtum est
licet,lilaLemma:110432,licuit,lĭcŭit
locus,lilaLemma:110019,locus,lŏcus
locus,lilaLemma:110019,locus,lŏcus
locus,lilaLemma:110019,loci,lŏcī
magis,lilaLemma:111271,magis,măgĭs
manus,lilaLemma:111585,manus,mănŭs
manus,lilaLemma:111585,manus,mănūs
meus,lilaLemma:112262,meus,mĕus
meus,lilaLemma:112262,mea,mĕa
meus,lilaLemma:112262,meum,mĕum
miles,lilaLemma:112318,miles,mīlĕs
miles,lilaLemma:112318,militis,mīlĭtis
mitto,lilaLemma:112499,misi,mīsī
mitto,lilaLemma:112499,mitto,mittō
mitto,lilaLemma:112499,mittere,mittĕre
mitto,lilaLemma:112499,misi,mīsī
modo,lilaLemma:113289,modo,mŏdŏ
modus,lilaLemma:112553,modus,mŏdus
modus,lilaLemma:112553,modi,mŏdī
mos,lilaLemma:112831,mos,mōs
mos,lilaLemma:112831,moris,mōris
natura,lilaLemma:113421,natura,nātūra
natura,lilaLemma:113421,naturae,nātūrae
ne3,lilaLemma:113490,ne,nē
ne3,lilaLemma:113490,ne,nĕ
ne3,lilaLemma:113490,ne,nē
