lemma,lila_id,source,entry_id,senseGroup,sense_prefix,sense_predef,sense_def,sense_posdef
diuus2,lilaLemma:97990,Faria,Faria1994.n10259.e01,Faria1994.n10259.sg01,2,,"Divino, título dado aos imperadores romanos depois da morte","Verg. En. 6, 792."
carmen,lilaLemma:96629,Faria,Faria1994.n05022.e01,Faria1994.n05022.sg01,4,I-Sent. próprio,"Divisão de um poema canto, livro","Lucr. 6, 937."
numerus,lilaLemma:113981,Faria,Faria1994.n20797.e01,Faria1994.n20797.sg01,6,III-No plural:,"Divisões de um exército, corpo","de tropas Plín. Ep. 10, 29, 2."
diuus2,lilaLemma:97990,Faria,Faria1994.n10259.e01,Faria1994.n10259.sg01,1,,"Divo, divino","Cíc. Phil. 2, 110."
nuntius,lilaLemma:113734,Faria,Faria1994.n20841.e01,Faria1994.n20841.sg01,5,IV-Daí. em sent. figurado:,Divorciar-se,"Cíc. Fam. 15, 16, 3."
tollo,lilaLemma:128357,Faria,Faria1994.n32059.e01,Faria1994.n32059.sg01,9,II-Sent. figurado:,"Divulgar, espalhar",Plaut. Mil. 293.
iacio,lilaLemma:106001,Fonseca,Fonseca1798.n13793.e01,Fonseca1798.n13793.sg01,2,,"divulgar, espalhar novas, & c.",
celebro,lilaLemma:93319,Faria,Faria1994.n05315.e01,Faria1994.n05315.sg01,5,III-Empregos especiais:,"Divulgar, espalhar, tomar conhecido","Cíc. De Or. 3, 155."
inquam,lilaLemma:108033,Faria,Faria1994.n16201.e01,Faria1994.n16201.sg01,2,Sent. indeterminado:,diz-se,C íc. Tusc. 3. 71.
do,lilaLemma:99970,Faria,Faria1994.n08617.e01,Faria1994.n08617.sg01,1,,"Dize, vejamos","Verg. Buc. 1, 18."
aio,lilaLemma:88191,Cardoso,Cardoso1570.n00935.e01,Cardoso1570.n00935.sg01,1,,dizer,
dico,lilaLemma:99302,Cardoso,Cardoso1570.n05864.e01,Cardoso1570.n05864.sg01,1,,dizer,actiuo.
inquam,lilaLemma:108033,Cardoso,Cardoso1570.n10729.e01,Cardoso1570.n10729.sg01,1,,dizer,
aio,lilaLemma:88191,Faria,Faria1994.n01357.e01,Faria1994.n01357.sg01,2,"II-Daí, por enfraquecimento de sentido",Dizer,"Cíc. Verr. 1, 117; Cíc. Or. 155."
dico,lilaLemma:99302,Faria,Faria1994.n09678.e01,Faria1994.n09678.sg01,1,I-Sent. próprio,"Dizer com um caráter solene e técnico, pois que se trata de um vocábulo da língua religiosa e jurídica, afirmar, expor,pronunciar, falar em tom solene e ameaçador","Cíc. Fin. 2, 85; Cíc. De Or. 3, 213; Cíc. Fam. 3, 8, 5; Cíc. Dom. 70."
nego,lilaLemma:113553,Faria,Faria1994.n20345.e01,Faria1994.n20345.sg01,1,A-Intr.-Sent. próprio:,"Dizer que não, negar","Cíc. Of. 3, 91."
