"lemma","I a.C._Freq","I a.C._NormFreq","I d.C._Freq","I d.C._NormFreq","II d.C._Freq","II d.C._NormFreq","IV d.C._Freq","IV d.C._NormFreq","period_DP"
"postquam",44,2.04794042355132,15,2.29463056447912,4,10.4712041884817,1,2.24668613794653,0.0572372708334056
"postremo",2,0.0930882010705143,0,0,0,0,0,0,0.255262729166594
"postremus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"postridie",24,1.11705841284617,1,0.152975370965275,0,0,0,0,0.215262729166594
"postulatio",5,0.232720502676286,0,0,0,0,0,0,0.255262729166594
"postulatum",5,0.232720502676286,0,0,0,0,0,0,0.255262729166594
"postulo",105,4.887130556202,3,0.458926112895824,0,0,0,0,0.227484951388817
"Postumia",2,0.0930882010705143,0,0,0,0,0,0,0.255262729166594
"postumius",2,0.0930882010705143,0,0,0,0,0,0,0.255262729166594
"Potamon",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"potens",35,1.629043518734,20,3.05950741930549,2,5.23560209424084,0,0,0.146130740677428
"potentatus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"potentia",31,1.44286711659297,14,2.14165519351384,3,7.85340314136126,0,0,0.114332495063393
"potestas",107,4.98021875727252,8,1.2238029677222,0,0,5,11.2334306897326,0.173167504936607
"potio",4,0.186176402141029,8,1.2238029677222,0,0,0,0,0.440073809350494
"potior",17,0.791249709099372,0,0,0,0,0,0,0.255262729166594
"potis",5,0.232720502676286,4,0.611901483861098,1,2.61780104712042,0,0,0.260165828396726
"potissime",5,0.232720502676286,0,0,0,0,0,0,0.255262729166594
"potius",133,6.1903653711892,19,2.90653204834022,2,5.23560209424084,0,0,0.118899092802958
"poto",5,0.232720502676286,4,0.611901483861098,0,0,0,0,0.217851587128272
"prae",17,0.791249709099372,1,0.152975370965275,0,0,1,2.24668613794653,0.187202592655905
"praeacuo",4,0.186176402141029,0,0,0,0,0,0,0.255262729166594
"praebeo",24,1.11705841284617,11,1.68272908061802,0,0,0,0,0.0876928569695415
"praecaueo",3,0.139632301605771,0,0,0,0,0,0,0.255262729166594
"praecedo",2,0.0930882010705143,1,0.152975370965275,0,0,1,2.24668613794653,0.257978585120506
"praecellens",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"praeceps",16,0.744705608564114,16,2.44760593544439,0,0,0,0,0.273407142683827
"praeceptio",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"praeceptum",20,0.930882010705143,21,3.21248279027077,0,0,2,4.49337227589306,0.292862306050739
"praecerpo",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"praecido",3,0.139632301605771,1,0.152975370965275,0,0,0,0,0.0286698718504217
"praecingo",1,0.0465441005352572,3,0.458926112895824,0,0,0,0,0.523407142683827
"praecipio",21,0.9774261112404,9,1.37677833868747,0,0,8,17.9734891035722,0.205347006173138
"praecipito",2,0.0930882010705143,2,0.305950741930549,0,0,1,2.24668613794653,0.357978585120506
"praecipue",9,0.418896904817314,4,0.611901483861098,0,0,0,0,0.0810994503761349
"praecipuus",4,0.186176402141029,4,0.611901483861098,2,5.23560209424084,0,0,0.360165828396726
"praeclare",16,0.744705608564114,0,0,0,0,0,0,0.255262729166594
"praeclarus",82,3.81661624389109,1,0.152975370965275,1,2.61780104712042,0,0,0.231453205357071
"praeco",3,0.139632301605771,1,0.152975370965275,0,0,0,0,0.0286698718504217
"Praeconinus",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"praeconium",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
"praecordia",1,0.0465441005352572,4,0.611901483861098,0,0,0,0,0.573407142683827
"praecurro",4,0.186176402141029,4,0.611901483861098,0,0,0,0,0.273407142683827
"praeda",31,1.44286711659297,8,1.2238029677222,0,0,0,0,0.0501345240383893
"praedator",1,0.0465441005352572,1,0.152975370965275,0,0,0,0,0.273407142683827
"praedicatio",5,0.232720502676286,0,0,0,0,0,0,0.255262729166594
"praedico",25,1.16360251338143,1,0.152975370965275,0,0,10,22.4668613794653,0.262349220214457
"praedico2",9,0.418896904817314,2,0.305950741930549,0,0,0,0,0.0734445473484126
"praeditus",25,1.16360251338143,0,0,0,0,0,0,0.255262729166594
"praedium",5,0.232720502676286,0,0,0,0,0,0,0.255262729166594
"praedo",30,1.39632301605771,3,0.458926112895824,0,0,0,0,0.164353638257504
"praedor",7,0.3258087037468,1,0.152975370965275,0,0,0,0,0.130262729166594
"praeeo",1,0.0465441005352572,0,0,0,0,0,0,0.255262729166594
