"lemma","Prosa histórica_Freq","Prosa histórica_NormFreq","Prosa filosófica_Freq","Prosa filosófica_NormFreq","Prosa oratória_Freq","Prosa oratória_NormFreq","Prosa epistolográfica_Freq","Prosa epistolográfica_NormFreq","Poesia lírica_Freq","Poesia lírica_NormFreq","Poesia didática_Freq","Poesia didática_NormFreq","Poesia trágica_Freq","Poesia trágica_NormFreq","Poesia épica_Freq","Poesia épica_NormFreq","Prosa ficcional_Freq","Prosa ficcional_NormFreq","genre_DP"
"praecludo",0,0,2,0.329483863527784,0,0,0,0,0,0,3,2.54474510136568,0,0,0,0,0,0,0.748726996682739
"praeco",0,0,1,0.164741931763892,2,0.192025193705414,0,0,1,0.84125515268781,0,0,0,0,0,0,0,0,0.387360437587308
"praecordia",0,0,3,0.494225795291676,0,0,0,0,1,0.84125515268781,1,0.848248367121893,0,0,0,0,0,0,0.707522938323899
"praedico2",0,0,1,0.164741931763892,7,0.672088177968949,1,0.264977874347492,0,0,0,0,2,1.73731758165393,0,0,0,0,0.417250766606552
"praeluceo",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"praenuntio",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"praeoccupo",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"praeparatus",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"praepostero",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"praeposterus",0,0,2,0.329483863527784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"praepotentes",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"praesagio",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"praestabilis",0,0,2,0.329483863527784,1,0.0960125968527071,0,0,0,0,0,0,0,0,0,0,0,0,0.456258023069466
"praestans",0,0,7,1.15319352234724,17,1.63221414649602,0,0,0,0,0,0,0,0,1,1.93050193050193,0,0,0.410608996467827
"praestantia",0,0,2,0.329483863527784,1,0.0960125968527071,0,0,0,0,0,0,0,0,0,0,0,0,0.456258023069466
"praesto2",0,0,1,0.164741931763892,8,0.768100774821657,7,1.85484512043244,1,0.84125515268781,0,0,0,0,0,0,0,0,0.408130379029053
"praestringo",0,0,2,0.329483863527784,1,0.0960125968527071,0,0,0,0,0,0,1,0.868658790826963,0,0,0,0,0.499687165284186
"praesumo",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"praetendo",0,0,1,0.164741931763892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"praeteritum",0,0,3,0.494225795291676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789591356402799
"praeteruehor",0,0,3,0.494225795291676,2,0.192025193705414,0,0,0,0,0,0,0,0,0,0,0,0,0.428564495946147
