lemma,collocate,pos,LogL,LR,MI,LogDice
animus,miles,substantivo,9.4,2.6,2.4,9.5
animus,aeger,adjetivo,21.6,5.4,4.2,9.5
animus,induco,verbo,17.2,4.5,3.7,9.5
animus,corpus,substantivo,7.4,2.2,2.1,9.4
animus,fingo,verbo,15,4.1,3.4,9.4
animus,humanus,adjetivo,12.3,3.6,3.1,9.4
animus,aetas,substantivo,5.5,2.1,2.1,9.3
animus,puerilis,adjetivo,19.5,6.3,4.7,9.2
animus,alacer,adjetivo,17.8,5.9,4.5,9.2
animus,offensio,substantivo,16.2,5.4,4.2,9.2
animus,erigo,verbo,15.2,5.2,4.1,9.2
animus,infirmus,adjetivo,13.7,4.8,3.8,9.2
animus,offendo,verbo,11.9,4.3,3.5,9.2
animus,acer,adjetivo,9.3,3.6,3.1,9.2
annus,tot,determinante,119,7.3,5.5,11.7
annus,aliquot,determinante,68.6,8.8,6.3,11.3
annus,post2,advérbio,24.1,5.8,4.5,10.5
annus,decem,numeral,21.5,6.7,5.1,10.4
annus,tempus,substantivo,33.1,4,3.3,10.4
annus,ante2,advérbio,21.4,4.5,3.7,10.3
annus,complures,determinante,18.1,5.8,4.6,10.3
annus,multus,determinante,30.9,3.3,2.9,10.1
annus,certus,adjetivo,10.2,3.8,3.2,9.9
annus,unus,determinante,15.3,3.1,2.7,9.8
annus,per,preposição,15.2,3.1,2.7,9.8
annus,totus,determinante,7.2,3,2.7,9.6
annus,iam,advérbio,9.8,2.6,2.4,9.5
annus,superus,,6.2,2.7,2.5,9.4
annus,hic,determinante,17.9,1.9,1.9,9.2
ante,oculus,substantivo,164.9,7.5,5.7,12.1
ante,ara,substantivo,49.8,7.5,5.7,11.3
ante,lux,substantivo,24.8,5.9,4.7,10.7
ante,dies,substantivo,51.8,4.5,3.7,10.6
ante,pono,verbo,24.3,4.9,4,10.5
ante,paulo,,16.6,5.4,4.4,10.4
ante,nox,substantivo,12.6,4.4,3.7,10.1
ante,mors,substantivo,14.1,3.9,3.3,10
ante,tempus,substantivo,10.5,3.2,2.8,9.6
ante,bellum,substantivo,6,2.6,2.5,9.3
ante,omnis,determinante,14.1,2.3,2.2,9.2
ante,ego,pronome,14.2,2,2,9.1
antequam,quam,conj.subord.,114.8,9.1,6.8,12.3
antiquus,atque,conj.coord.,13.5,2.9,2.7,8.7
appareo,tunc,advérbio,25.4,7.6,5.7,11.1
appareo,quantus,determinante,15.9,5.2,4.2,9.9
appareo,quod,conj.subord.,9.8,3.7,3.1,8.9
appareo,tu,pronome,7.7,2.6,2.3,8.2
appello,imperator,substantivo,29.1,5.6,4.4,10.7
appello,rex,substantivo,11.2,4,3.4,9.9
appello,senatus,substantivo,16.8,3.8,3.2,9.8
appello,hostis,substantivo,8.5,3.4,2.9,9.5
appello,noster,determinante,5.6,2.5,2.3,9.1
appello,qui,pronome,8.8,1.3,1.5,8.4
aptus,sum,verbo,10.7,2.5,2.3,7.2
apud,uos,pronome,37.4,3.6,3,10.4
apud,ceno,verbo,30,7,5.2,10.4
apud,Segestani,nome próprio,24.6,7.6,5.5,10.1
apud,pontifex,substantivo,21.6,6.7,5.1,10.1
apud,habito,verbo,20.4,6.4,4.9,10.1
apud,multum,advérbio,15,4.1,3.4,10
apud,is,determinante,61.7,2.4,2.2,9.9
apud,tu,pronome,35.8,2.3,2.2,9.8
apud,maiores,substantivo,11,4,3.3,9.8
apud,nos,pronome,15.2,2.6,2.4,9.8
apud,praetor,substantivo,10.6,3.9,3.3,9.8
apud,ego,pronome,33.2,2.2,2.1,9.7
apud,sui,pronome,20.2,2.2,2.1,9.7
apud,quisque,determinante,7.4,3,2.7,9.6
apud,auctoritas,substantivo,7.2,3,2.7,9.6
apud,Caesar,nome próprio,6.3,2.3,2.2,9.5
apud,exercitus,substantivo,5.8,2.6,2.4,9.5
apud,alius,determinante,6.4,2,2,9.4
apud,iste,determinante,6.2,2,1.9,9.4
apud,pater,substantivo,5,2.4,2.2,9.4
apud,ille,determinante,7.7,1.3,1.5,9.2
apud,qui,pronome,11.5,1,1.3,9
aqua,et,conj.coord.,9.8,1.8,1.9,8.1
ara,ante,preposição,49.3,7.4,5.7,11.3
ara,atque,conj.coord.,12.1,3,2.7,8.5
ara,ad,preposição,7.6,2.6,2.4,8.2
arbitror,pertineo,verbo,46.8,6.3,4.8,11
arbitror,Quirites,nome próprio,13.8,4.7,3.7,10.1
arbitror,nemo,pronome,13.2,3.7,3.1,9.9
arbitror,possum,verbo,17.2,2.4,2.2,9.4
arbitror,sum,verbo,73.5,2.2,2,9.3
arbitror,non,advérbio,27.3,2.2,2,9.3
arbitror,ut,conj.subord.,12.2,1.8,1.8,9.1
argentum,aurum,substantivo,33.1,7.5,5.7,11.3
argentum,omnis,determinante,10,2.7,2.5,8.7
argentum,tu,pronome,11.7,2.6,2.4,8.6
arma,capio,verbo,88.2,5.7,4.5,11.3
arma,sumo,verbo,27.2,5.4,4.3,10.6
arma,trado,verbo,18.4,4.7,3.9,10.3
arma,abicio,verbo,19.4,6.2,4.8,10.3
arma,obses,substantivo,15.7,5.2,4.2,10.1
arma,contra,preposição,14.3,4,3.3,10.1
arma,contendo,verbo,13.6,4.7,3.8,10.1
arma,quin,conj.subord.,12.2,4.3,3.6,10
arma,fero,verbo,15.1,3.1,2.8,9.9
arma,uis,substantivo,6.6,2.8,2.6,9.5
arma,uir,substantivo,7.1,2.5,2.3,9.5
arma,in,preposição,17.3,1.5,1.7,9.1
ars,bonus,adjetivo,93.9,5.7,4.5,11
ars,malus,adjetivo,16.5,5.4,4.4,10.4
ars,ullus,determinante,13.2,4.6,3.8,10.1
ars,nouus,adjetivo,12.7,4.4,3.7,10
ars,atque,conj.coord.,11.5,2.3,2.3,8.8
ascendo,nauis,substantivo,33.8,7.5,5.8,11
ascendo,et,conj.coord.,14.4,2.7,2.4,7.8
aspicio,possum,verbo,19.3,3.6,3.1,9
aspicio,si,conj.subord.,5.2,2.4,2.3,8.1
astrum,in,preposição,12.4,3.6,3.2,7.5
at,uersus,substantivo,44.1,5.4,3.9,10.7
at,ille,determinante,116.2,3.5,2.6,10.3
at,enim,advérbio,36.4,3.3,2.5,10
at,accipio,verbo,8.1,3.2,2.4,9.5
at,nos,pronome,8.6,2.4,1.9,9.3
at,quis,pronome,15.1,2,1.6,9.2
at,tu,pronome,12.3,1.9,1.5,9.2
at,nunc,advérbio,5,2.4,1.8,9.1
at,hic,determinante,12.4,1.6,1.3,9
at,possum,verbo,6.8,1.7,1.4,9
atque,hic,determinante,9.7,0.6,0.8,10.2
atque,etiam,advérbio,32.6,1.6,1.5,10.2
atque,ita,advérbio,32.2,1.9,1.7,10
atque,bonus,adjetivo,26.5,1.9,1.7,9.9
atque,animus,substantivo,14,1.3,1.3,9.8
atque,homo,substantivo,9.6,1.1,1.2,9.7
atque,fortis,adjetivo,33.4,2.7,2.2,9.7
atque,imperium,substantivo,33.2,2.7,2.2,9.7
atque,simul,advérbio,44.1,3.4,2.7,9.7
atque,alius,determinante,7.4,1,1.1,9.6
atque,amicus,substantivo,18.8,2,1.8,9.5
atque,idem,determinante,5.3,1,1.1,9.4
atque,urbs,substantivo,10.9,1.6,1.5,9.4
atque,uirtus,substantivo,8.9,1.4,1.4,9.3
atque,honestus,adjetivo,27.1,3.3,2.6,9.2
atque,socius,substantivo,19.8,2.7,2.2,9.2
atque,studium,substantivo,10.1,1.8,1.6,9.1
atque,utinam,advérbio,36.1,4.4,3.3,9.1
atque,templum,substantivo,25.5,3.4,2.7,9.1
atque,liberi,substantivo,25.1,3.4,2.7,9.1
atque,usus,substantivo,22.4,3.1,2.5,9.1
atque,hinc,advérbio,17.2,2.6,2.2,9.1
atque,perditus,adjetivo,26.9,3.9,3,9
atque,integer,adjetivo,22.8,3.4,2.7,9
atque,incredibilis,adjetivo,22.1,3.4,2.7,9
atque,ibi,advérbio,18.7,3,2.4,9
atque,fortuna,substantivo,5.3,1.4,1.4,8.9
atque,sceleratus,adjetivo,29.9,4.7,3.4,8.9
atque,ornatus,adjetivo,28.9,4.5,3.3,8.9
atque,inopia,substantivo,21.7,3.7,2.8,8.9
auctor,pax,substantivo,31.1,5.9,4.7,10.8
auctor,semper,advérbio,19.3,4.9,4,10.2
auctor,Pompeius,nome próprio,14.7,4.9,4.1,10.2
auctor,consilium,substantivo,16.5,4.4,3.7,9.9
auctor,tu,pronome,6.4,2,2,8.4
auctoritas,senatus,substantivo,130.3,5.2,4.2,11.3
auctoritas,uester,determinante,55.6,4.8,3.9,10.9
auctoritas,ualeo,verbo,23.6,4.8,3.9,10.5
